ID,Plaintext,Ciphertext,Length
1,It was soon evident to me that he was now preparing for an all-night sitting.,"G1bE3#10mUM#OFiH,-gifi,3M*,#*BD0,ga(A3.I#IR.iA*6;=*;XI5iKWO:vGrrE.grQ<r;IIuWE",77
2,There was no slit through which a knife could be passed to raise the bar.,"*@e3e=M#*8xHe58X*z1vM3ii#XV*Bz#ifi,,t5viKW=t;;ty;iIdgprO:y70UGu3;=<;UuU k",73
3,"I should like a few particulars as to this young lady, and your relations to her.” Lord St.","b,5o3*,#*=F_jVNKNpeun#;K(i*Z(MOnT:9-0OM+0ND-O.;RtBrMgEV:QId<6gIR;IIxt1<21QBxtWPKE6;=5k=k7;R",91
4,"You have him here?” “In the cells.” “Is he quiet?” “Oh, he gives no trouble.","CDX3#iq!-,e3V1C;*,(O32j^e3UOU0eVUVjMNaaIXM;:;PNIWruU*SR=WI5iINu1K151pNW=ty+(",76
5,what a blind fool I have been!,Uj5jM(e/OI05M_UNKg0r7ExrrXM0Vl,30
6,You have been of material assistance to me.” “You will tell me if you have any news to-morrow.,"B-#UZ(0iIMjMNK(i,ej*j1NaVb,#*^p2EfeAe_VYUj5jMNaaIXM0Vrx:KPgrKIuQ*;=*x1aIUS;Pr*1=xIXMgkWVIRZ.k(",94
7,This business has had a very bad effect upon him.,"*iU/5bzqN@Ne,MsVfVx!Eu(itIIDIvu;K;ZgpP= B(Od;2rI2",49
8,And yet you have seen.,BjOjMNK3DNgSBOIxIXM;Vk,22
9,"Now, if you cared to apply, Mr.",*iD o#*89*X5=egkO1EEy:Q3;=Zc=pk,31
10,what an observant young lady we have come upon.,"B/5,ZemV!Ns,FX5Bney-p3MiXIQEDPH6EyrWZ=V;oU2*;2k",47
11,Rucastle came down just after breakfast and whispered something to her husband.,"dpR5V,#*FiC#O8eaiiIM24h,5e2M28Ug5,Le^fdsTKtUG*:OrDugyP0voYug7iITP3;JNIr;=5ru8Q2",79
12,Get out!” And no more words were needed.,"dDji,!(5Fe#VFNgV3X3ziIy8!SBk:.U(7IVvWV*2",40
13,"You put me off, do you?” said our new visitor, taking a step forward and shaking his hunting-crop.","G-BF:;V=VFWMOIM5A#Ow29#1h*,ZE0U!VXNpO1X5Kex-,3XNaaIdI*Ex12Eyu;FByrvUAIRr;oW1Fu3E.#7g7;XAr;;;tIrZk2",98
14,"His grandfather was a royal duke, and he himself has been to Eton and Oxford.","d#y*IMg_#*0D(M(jOieVIMj65mXVMfie34IM-=o;1<7YuPiKgWxQ:sUg7;UIdP=XI,P;=;.g7ga.2",77
15,That is as much as I have been able to gather about the families.,"2!!9O,*dKMe3H#*jsUj5jM((M35(M=3MtXI;gIddgIrXM0Vrwv;=guPgzu;5EZWiR",65
16,"Miss Irene, or Madame, rather, returns from her drive at seven.","Bjz3Mji5eV#((iT,ee3Me,@AV-j0((=p;ISPUErHG*1<uP1vuSI.J;P:rMgI5Mk",63
17,You should be ashamed of yourself!” “So I am.,"*MOwVVqzNK(-89(MDND-OXYy;RtB,guZ3E=xt5kj1RWg2",45
18,"Holmes, in the conjecture which seemed to us to be probable in your rooms at Baker Street.","bj3,ehO_(#-VX51eD@--D#*y#*8ezVBUeNbjg*,*1eqe/47N1W;5:.,dtUN:I533;=u;=,:k +UWEyrkJIK0oP;tVR",90
19,"Hardy, who used to be our foreman, and it was there I met Mr.","*iCVO,,*fiBNpepe#ON-D#*8y#Ueu9oQ21N=u3;=,EtE.3Q1QB;iK;5vW:Npk",61
20,"I will leave the country, sir.","*Ee5BX*,*jn,j1(rUSW#M;5:y6k1Ik",30
21,Rucastle met me here and drove me in his dog-cart to the Copper Beeches.,"2,CzV /*,*Z39B/5=V1eVj-5IM,,eVCVj2Lu@Guv:N:U5vg7:kM:UW;;:=ZQIR;50J*r,35R",72
22,"Her young womanhood had, I knew, been spent in rough scenes and under strange conditions.","2g:;g* p3OeI5IMq02VK-UiB O0De0W(esVX-p#iFX5eoPEyriJQRJ;Z1r?V1,P;*61rkIITPNg7;7P;tQi:.BI.R",89
23,"Our cabs were dismissed, and, following the guidance of Mr.","*iYeB@;-,*F1w ODpe8xi=5,!(s*NGt:wIVv:;Bu31QBE.kUr;51IG7Uxpk",59
24,"As I expected, his reply was typewritten and revealed the same trivial but characteristic defects.","2bzD3:=ebMM*d5m0i*,4e3NjnjVIM0bi0K*fi8wV=VD^CK,OY6WiZ35B;;W3kiK;JVruPg7W9#vBuUX*;rAQ0u:X<dP;IB*OdR",98
25,His orders were to stay in the house.” Again Holmes raved in the air.,"*pe3Ui8mVqe/Up/3Cy-e3Uis2#*,!(e5-=o;E7PIVv;=ua1ruURu(=rFr47NWo31ruUFk",69
26,Pa thought I had a decline and took me to half the doctors in ’Frisco.,"G2i-UiOZG5,*qM#*,P/*IM!0C5MsVO*K-*nY;RIuW;Zg:3rvg7;xA*;=Xk;5:JR61rirTx",70
27,I wouldn’t frighten Kate—poor little Kate.,C_Mjb0V/w^)U^#iOB;DF(r(tc6Er;5rY53xrruvEK(,42
28,"If the former, she had probably transferred the photograph to his keeping.","G1w+(i#*#M/G#e3N,exp3ND@--sV,O,,#O,*xk;5E.*r;5;Z:k +=tQRPvBuUdy=<d;=IIM3WE",74
29,I had left my chair and was gazing at it over his shoulder.,"*DD-O=Ve 3i_#1h-fiIMUM*53q,sV.;ZW(I2:XWg7iK1FW1K1IfP;;;Rt*k",59
30,I have driven down to tell you so.,GOX5j^#*1KUji5jM(rXM:rMr2P;=5SEy;x,34
31,I thought of the agonies I had gone through in coming from the hotel.,C^-e3V-OFiZUi#XV*!/NM((!goe3(-*K-*.;RIuE=uUF.iIrXBEv;ty;1r2BrEkBuUR5k,69
32,"I have already learned all that is in the public prints, nothing more.","C#VFiGizBi-BDXe3Ui=3M*jM8in,uneMjM(rXMgS#2W#S3gS;XI;1ruUd+::r6IWyIr:.(",70
33,My sister thinks that I am going mad.,dM#1/VMO_3(ri*e2ENp=IuP;IhIuKWgBEW1G2,37
34,Three thousand will cover the matter.,"*^_V,*e *j1Npy-*jVttV;RuQBUS:fP;5:K5k",37
35,I have myself some small business matters to attend to.,G*I^_#*O^_Vx!Euem(e#Oqz5emV.;oU25k;JUTQrDIvu:K56;=K57;x,55
36,"There was a cheetah, too; perhaps we might find it upon our shoulders at any moment.","b0#VIM_(e8X(VXU/5BN1O*FV!(oV 9/*,Lj39(AeeN6PU#IFdVXI;xB*6ZIV:1uEWB;;2ryruy7PIKgk:JPR",84
37,"James’s Hall this afternoon,” he remarked.","d+9eV,e!/i^f(i*jH(x,@#*uIHS;IIa5Sxr15W3QM2",42
38,We neither of us care for it.” “That is unusual in a young girl.” “She is of a quiet nature.,"CN_iC;*MY(i,,3CU-FX5M1e@y;(i_NVbBVae9*y(-e30i!*WUuPE=u:QUxr;x16K1ItuXrWgEyr1Wk=;51IxgiINWKt(",92
39,Rucastle to find her eyes fixed upon me with a most searching gaze.,"Ch-Fi*nO2-9VBi,U/58IOq8V,N1OZe^fdsTKtUREWB5r(NEg3;2r*i;IF2u;#7Ir1F(",67
40,"I found my father expiring upon the ground, with his head terribly injured.","d,81NDie*s,(iVBiD;--,*gK#1UK,e34NVIXO.Ey7:=YuPiZWW1T.;51ktBi;III5Z;Pr+=WDv2",75
41,"Another, Lucy Parr, the second waiting-maid, has only been in my service a few months.","23gV0OM^0eO5Ui0DN!-fVDpUF:piIZze3eVnNdM,,GgSy5rWT=YS1uU527iFIrZFB;KES=,P1r2;PA*gEV:.uR",86
42,You see this little book?” “Well?” “That’s the list of the folk from whom I buy.,"du(V-i#(P O,*Y3=,,*J_NV1j!V1<Ke^B,=3ezNaaI5Uu;W;tUzfu1*Su16Ku;5W;Ix;5E.A.JiRBrDx",80
43,Sherlock Holmes sat up with a whistle.,"C^=U9VBiK34(, -7weeuPk_p.*IXITi;IFN;t(",38
44,It cuts into glass as though it were putty.” “It’s more than a precious stone.,"Cg2(X:,-Mp3e#VJ2VbTd-,!3i#X3(Mxn-Z1(d*26:uIWR1<ugIuy;1IVv:uRx16u:.UuQg:vByIu.(",78
45,Bring him into the sitting-room.,"*/UF:BO,*Z1Vi#1(+W1IBWR;5;;IrQx2",32
46,And now we must be silent and wait.” What a time it seemed!,"N,jOBeU*M_U3bpiIMBjEe525eigiIQ7WOiUdu0UIv6g7iFR=dKg;:U;;V*C",59
47,Simon glanced over it.,bie N^p U-0I2rWQ*BfP1R,22
48,"Paul’s.’ “I started off, Mr.",*izYN^92(VbqDnYt6x1ruQ5Bx=pk,28
49,Windibank gave a violent start and dropped his gloves.,"2jw-=V8/-5IM*LOBjF,MjHPpII1B70QAgMgpEv6;X6g7:kb3;;1kMR",54
50,I know I ought to have spoken to Lord St.,"b,5o#*0<aemVZ3#X(UFv.pkUry;IR;oUTfP;=k7;R",41
51,And then the incident of the grey cloth seen by young McCarthy.,"d39biFX5uUjO3w*8#e3(-BD:1e3U,*IQ7;5ruUWB*6E=uUW(:ku;VrzEyrpCQux",63
52,Twice burglars in my pay ransacked her house.,"Cy-V,N+_=MNHNV1(9 N5^1tU*0tWQIW:=G=<6ZMB5rRu(",45
53,"I have caught you, have I?",EemVDK3#s*jM(rXM:K;IxI;oU6,26
54,"The bird gave a gulp, and I felt the stone pass along its gullet and down into its crop.","G-*JiZ1Ug5IMCjX(B#gm(f-!ZO,*Cz(NpewX9em-5;eN6U!71oUF;71QBrO6;5;Rv:KIQ.1;I;SNg7:OrWR1u:k2",88
55,Now he looks a little more human.,BM5e#Vjb09(<weVgkO;UkfIFruv:.UuGk,33
56,I know some of them.,"*,*Ye#OgW(r?O;JUx;52",20
57,I think that I recognise the symptoms.,"2#GNO,*z1/CVO_3P13(ruWAuKWW3=r5;5;JdJR",38
58,"I shall stand behind this crate, and do you conceal yourselves behind those.","CY3N1e5qjzNKenBZNK#5IMj_3(i*IiDNp2em((ruQruQB,I7;IIcKUg7:=xI27#rxt5hN0NWBuy(",76
59,"If you can enjoy it in peace, well and good!","N/-IMj!e^n-13iX!,p*X5xkEy:Qilx1IW:#*1VSg71xC",44
60,I know that Miss Stoner has been here.,"CeV0D(MV!Z,x13M*gW(r?O;XIAu;RvrXI,P;P(",38
61,"He took a large villa, laid out the grounds very nicely, and lived generally in good style.","CD2N/-1NjM! Nj0Npe8^1Ne,y;--,*d-Inen!, 9,M<ZeoURfgWQipW<1<:Eu;51ktdpP=r*k1QBrMBiv<S=W1xBu.(",91
62,It seemed to me that her mistress allowed her to take great liberties.,"2!*D03n#eh*ZV,N!wm(q3=VeV_3eVZN,jO26;V*BR:UuK;P:;tNIQkVB5rR;oUW#Ir,6iR",70
63,He said that he had never heard of any such body.,"dX53RNp(-5nVejisV,3M*I4eoUX:;XI5;ZW9P;#7E=Q=ud0Jx",49
64,He had nothing a few years ago.,Go(9DUz9#13FNMeoUXBkuW1FOUOQIFx,31
65,"Save, perhaps, that.",bM*zoV ejnXM1*6ZI;XR,20
66,"The lining had been of red silk, but was a good deal discoloured.","d,X 2;en5X/9(A3uelEN,(-0DNM#11,,t5WWW1XB,PE=vBIh1DI#IFEJ:#rBT.yv2",65
67,In only one matter has she ever gone against my wishes.,"2,=i53=poeg-eje((MV^_V!-8gU.r.kEv:K5rXIuU9P1.UFF6I2i;5R",55
68,"A lean, ferret-like man, furtive and sly-looking, was waiting for us upon the platform.","*#Jn-,*gK(5#OF:pifi 1<w;zNpe!*RepV+0:,eO!n,QW#rEPvXrM:Q1y6pUQBtYkfW1iKiFIrE.;IT.;5:<R.2",87
69,Suppose that this man Boone had thrust Neville St.,"b,j!jv253NMegaUM(i*_3eY/8ubyUuK;IIGrz.UXBu6uE9Wv;R",50
70,"I am afraid that I am a little late, but I am not quite my own master, you know.","BFvX5,^fV1-5eBT3FVMOd5j_,jb09VMO_3Np(M9(rZg.FBuKWgBFruvWKU0uWgBkIN;U2EP:K5rEypk(",80
71,A Scandal in Bohemia II.,2OAe#O1e@pC#rTQGrW0y3gWk,24
72,Was there a police-station anywhere near?,"ini,,;pUF_20B -M,,*f:K;5vg:.:#uKErQO5vW#6",41
73,"There is no communication between them, but they all open out into the same corridor.","*Ki#*,4e3#Bid-0/emN,*d5,,*0!C5g:L15#*F(i,,t5v1Ik:JdrGI.0NVP;5B0u;5=QrJPEu16=uUX*:.r2k",85
74,The method was no doubt suggested to Clay’s ingenious mind by the colour of his accomplice’s hair.,"*pVq^0-Z_(i(-NwZe3N5Ii(X1 1(un*ZN^q/R3uK#ifiX3,eN6U*uJiKW=28Iu1N5BR0<xIWiryIB70=uU2ktE=IIZ2br*N;Fk",98
75,It is not a common experience among employers in this age.,"Co(i*1(eX e#g9eB!eK,gVZ93F(i261IkIF2b.iZPi7UZ.13cxPIW;IIF(",58
76,"Rucastle came out to me, looking as merry and jovial as ever.","*j,feA ,IM5eVf#1<we,#*d-,Le^fdsTKtUG*Eu;=*1kfW1K:Pkg70fgrKiMk",61
